AWB Number,Order ID,SKU No,Order Qty,WeightPerQty,Total weight as per X (KG),Weight slab as per X (KG),Total weight as per Courier Company (KG),Weight slab charged by Courier Company (KG),Delivery Zone as per X,Delivery Zone charged by Courier Company,CourierRatePer0.5KG,Billing_Amount
1091118553701.00,2001813009.00,8904223818850.00,1,240,0.24,0.5,1,1,d,d,45.4,90.2
1091119429202.00,2001816996.00,8904223818850.00,1,240,0.24,0.5,0.5,1,d,d,45.4,45.4
1091120959225.00,2001821185.00,8904223818850.00,1,240,0.24,0.5,2.1,2.5,d,d,45.4,224.6
1091121034350.00,2001821750.00,8904223818850.00,1,240,0.24,0.5,0.8,1,d,d,45.4,90.2
1091117225484.00,2001806616.00,8904223818935.00,1,120,0.12,0.5,1.08,1.49,b,b,33,89.6
1091117795531.00,2001809794.00,8904223818935.00,1,120,0.12,0.5,1.5,2,d,d,45.4,135
1091119398844.00,2001816684.00,8904223818935.00,4,120,0.48,1,0.99,1,d,d,44.8,172.8
1091120014461.00,2001818390.00,8904223818935.00,4,120,0.48,1,0.8,1,e,e,55.5,213.5
1091117221940.00,2001806210.00,8904223818874.00,1,100,0.1,0.5,2.92,3,b,b,33,174.5
1091117222931.00,2001806408.00,8904223818874.00,1,100,0.1,0.5,2.5,2.5,d,d,45.4,224.6
1091117437293.00,2001808739.00,8904223818874.00,1,100,0.1,0.5,1.63,2,d,d,45.4,179.8
1091117795623.00,2001809820.00,8904223818874.00,1,100,0.1,0.5,3,3,d,d,45.4,269.4
1091117957780.00,2001811192.00,8904223818874.00,1,100,0.1,0.5,1.13,1.49,d,d,44.8,258.9
1091117957942.00,2001811229.00,8904223818874.00,1,100,0.1,0.5,0.6,1,d,d,45.4,90.2
1091118553701.00,2001813009.00,8904223818874.00,1,100,0.1,0.5,1,1,d,d,45.4,90.2
1091119169701.00,2001815688.00,8904223818874.00,1,100,0.1,0.5,0.2,0.5,d,d,45.4,45.4
1091119398844.00,2001816684.00,8904223818874.00,2,100,0.2,0.5,0.99,1,d,d,44.8,172.8
1091121485824.00,2001817093.00,8904223818874.00,1,100,0.1,0.5,1.3,1.49,b,b,28.3,151.1
1091117324346.00,2001807328.00,8904223818997.00,1,490,0.49,1,2.28,3,d,d,45.4,224.6
1091117222080.00,2001806229.00,8904223818942.00,1,133,0.133,0.5,0.71,1,d,d,45.4,90.2
1091117222194.00,2001806273.00,8904223818942.00,1,133,0.133,0.5,1,1,d,d,45.4,90.2
1091117222360.00,2001806304.00,8904223818942.00,1,133,0.133,0.5,0.71,1,d,d,45.4,90.2
1091117222570.00,2001806338.00,8904223818942.00,1,133,0.133,0.5,0.7,1,d,d,45.4,90.2
1091117223211.00,2001806446.00,8904223818942.00,1,133,0.133,0.5,0.69,1,d,d,45.4,90.2
1091117223351.00,2001806471.00,8904223818942.00,1,133,0.133,0.5,1.7,2,d,d,45.4,179.8
1091117223351.00,2001806471.00,8904223818942.00,2,133,0.266,0.5,1.7,2,d,d,45.4,179.8
1091117224353.00,2001806533.00,8904223818942.00,1,133,0.133,0.5,0.68,1,d,d,45.4,90.2
1091117225016.00,2001806575.00,8904223818942.00,1,133,0.133,0.5,0.68,1,b,b,33,61.3
1091117226221.00,2001806652.00,8904223818942.00,1,133,0.133,0.5,0.69,1,d,d,45.4,90.2
1091117226910.00,2001806726.00,8904223818942.00,1,133,0.133,0.5,0.68,1,d,d,45.4,90.2
1091117226711.00,2001806735.00,8904223818942.00,1,133,0.133,0.5,0.69,1,d,d,45.4,90.2
1091117228192.00,2001806828.00,8904223818942.00,1,133,0.133,0.5,0.69,1,d,d,45.4,90.2
1091117229183.00,2001806968.00,8904223818942.00,1,133,0.133,0.5,0.68,1,d,d,45.4,90.2
1091117229290.00,2001807004.00,8904223818942.00,1,133,0.133,0.5,0.68,1,d,d,45.4,90.2
1091117323215.00,2001807084.00,8904223818942.00,1,133,0.133,0.5,0.67,1,d,d,45.4,90.2
1091117323812.00,2001807186.00,8904223818942.00,1,133,0.133,0.5,0.5,1,d,d,45.4,45.4
1091117324206.00,2001807290.00,8904223818942.00,1,133,0.133,0.5,0.5,1,d,d,45.4,45.4
1091117333100.00,2001807329.00,8904223818942.00,1,133,0.133,0.5,0.73,1,d,d,45.4,90.2
1091117326424.00,2001807785.00,8904223818942.00,1,133,0.133,0.5,0.68,1,d,d,45.4,90.2
1091117326925.00,2001807852.00,8904223818942.00,1,133,0.133,0.5,0.74,1,d,d,45.4,90.2
1091117327275.00,2001807956.00,8904223818942.00,1,133,0.133,0.5,1.08,1.49,b,b,33,89.6
1091117327570.00,2001807981.00,8904223818942.00,1,133,0.133,0.5,0.5,1,d,d,45.4,45.4
1091117436346.00,2001808475.00,8904223818942.00,1,133,0.133,0.5,0.7,1,d,d,45.4,90.2
1091117436652.00,2001808585.00,8904223818942.00,1,133,0.133,0.5,0.72,1,b,b,33,61.3
1091117437035.00,2001808679.00,8904223818942.00,1,133,0.133,0.5,0.72,1,d,d,45.4,90.2
1091117437890.00,2001808837.00,8904223818942.00,1,133,0.133,0.5,0.67,1,d,d,45.4,90.2
1091117438074.00,2001808883.00,8904223818942.00,1,133,0.133,0.5,0.72,1,d,d,45.4,90.2
1091117611501.00,2001808992.00,8904223818942.00,1,133,0.133,0.5,0.72,1,d,d,45.4,90.2
1091117613962.00,2001809270.00,8904223818942.00,1,133,0.133,0.5,0.68,1,d,d,45.4,90.2
1091117795623.00,2001809820.00,8904223818942.00,1,133,0.133,0.5,3,3,d,d,45.4,269.4
1091117804314.00,2001810125.00,8904223818942.00,1,133,0.133,0.5,0.66,1,d,d,45.4,90.2
1091117805390.00,2001810281.00,8904223818942.00,1,133,0.133,0.5,0.68,1,d,d,45.4,90.2
1091117905022.00,2001811058.00,8904223818942.00,1,133,0.133,0.5,0.72,1,d,d,45.4,90.2
1091118009786.00,2001811809.00,8904223818942.00,1,133,0.133,0.5,0.5,1,d,d,44.8,86.7
1091118442390.00,2001812195.00,8904223818942.00,1,133,0.133,0.5,0.67,1,d,d,45.4,90.2
1091118551656.00,2001812941.00,8904223818942.00,1,133,0.133,0.5,0.73,1,d,d,45.4,90.2
1091118553701.00,2001813009.00,8904223818942.00,1,133,0.133,0.5,1,1,d,d,45.4,90.2
1091119429202.00,2001816996.00,8904223818942.00,1,133,0.133,0.5,0.5,1,d,d,45.4,45.4
1091120352712.00,2001819252.00,8904223818942.00,1,133,0.133,0.5,0.3,0.5,b,b,33,33
1091120959225.00,2001821185.00,8904223818942.00,2,133,0.266,0.5,2.1,2.5,d,d,45.4,224.6
1091117222931.00,2001806408.00,8904223819024.00,8,112,0.896,1,2.5,2.5,d,d,45.4,224.6
1091117224902.00,2001806567.00,8904223819024.00,1,112,0.112,0.5,1.16,1.49,d,d,45.4,135
1091117225484.00,2001806616.00,8904223819024.00,1,112,0.112,0.5,1.08,1.49,b,b,33,89.6
1091117323005.00,2001807036.00,8904223819024.00,4,112,0.448,1,1.64,2,d,d,45.4,179.8
1091117324394.00,2001807362.00,8904223819024.00,2,112,0.224,0.5,2,2,d,d,45.4,179.8
1091117324394.00,2001807362.00,8904223819024.00,6,112,0.672,1,2,2,d,d,45.4,179.8
1091117325094.00,2001807415.00,8904223819024.00,4,112,0.448,1,1,1,b,b,33,61.3
1091117435005.00,2001808102.00,8904223819024.00,2,112,0.224,0.5,1.28,1.49,d,d,45.4,135
1091117616121.00,2001809592.00,8904223819024.00,8,112,0.896,1,1.5,2,b,b,33,89.6
1091117795623.00,2001809820.00,8904223819024.00,2,112,0.224,0.5,3,3,d,d,45.4,269.4
1091117957780.00,2001811192.00,8904223819024.00,2,112,0.224,0.5,1.13,1.49,d,d,44.8,258.9
1091118548333.00,2001812854.00,8904223819024.00,2,112,0.224,0.5,2.94,3,d,d,45.4,269.4
1091121485824.00,2001817093.00,8904223819024.00,2,112,0.224,0.5,1.3,1.49,b,b,28.3,151.1
1091120962515.00,2001821284.00,8904223819024.00,1,112,0.112,0.5,0.2,0.5,d,d,45.4,45.4
1091121185863.00,2001821502.00,8904223819024.00,2,112,0.224,0.5,0.6,1,d,d,45.4,90.2
1091121666133.00,2001823564.00,8904223819024.00,2,112,0.224,0.5,0.7,1,d,d,44.8,172.8
1091121981575.00,2001825261.00,8904223819024.00,4,112,0.448,1,1.6,2,d,d,44.8,345
1091117226674.00,2001806733.00,8904223819031.00,1,112,0.112,0.5,1.13,1.49,d,d,45.4,135
1091117323005.00,2001807036.00,8904223819031.00,4,112,0.448,1,1.64,2,d,d,45.4,179.8
1091117324394.00,2001807362.00,8904223819031.00,2,112,0.224,0.5,2,2,d,d,45.4,179.8
1091117324394.00,2001807362.00,8904223819031.00,6,112,0.672,1,2,2,d,d,45.4,179.8
1091117435005.00,2001808102.00,8904223819031.00,2,112,0.224,0.5,1.28,1.49,d,d,45.4,135
1091117795623.00,2001809820.00,8904223819031.00,2,112,0.224,0.5,3,3,d,d,45.4,269.4
1091117957780.00,2001811192.00,8904223819031.00,2,112,0.224,0.5,1.13,1.49,d,d,44.8,258.9
1091121844806.00,2001811475.00,8904223819031.00,1,112,0.112,0.5,0.5,1,b,b,33,33
1091118591534.00,2001812650.00,8904223819031.00,4,112,0.448,1,0.61,1,d,d,45.4,90.2
1091118547832.00,2001812838.00,8904223819031.00,4,112,0.448,1,0.6,1,b,b,28.3,102.3
1091118548333.00,2001812854.00,8904223819031.00,2,112,0.224,0.5,2.94,3,d,d,45.4,269.4
1091121485824.00,2001817093.00,8904223819031.00,2,112,0.224,0.5,1.3,1.49,b,b,28.3,151.1
1091121185863.00,2001821502.00,8904223819031.00,2,112,0.224,0.5,0.6,1,d,d,45.4,90.2
1091121666133.00,2001823564.00,8904223819031.00,2,112,0.224,0.5,0.7,1,d,d,44.8,172.8
1091118547832.00,2001812838.00,8904223818980.00,1,110,0.11,0.5,0.6,1,b,b,28.3,102.3
1091121185863.00,2001821502.00,8904223818980.00,1,110,0.11,0.5,0.6,1,d,d,45.4,90.2
1091117222194.00,2001806273.00,8904223819017.00,1,115,0.115,0.5,1,1,d,d,45.4,90.2
1091117323005.00,2001807036.00,8904223819017.00,1,115,0.115,0.5,1.64,2,d,d,45.4,179.8
1091118591534.00,2001812650.00,8904223819017.00,1,115,0.115,0.5,0.61,1,d,d,45.4,90.2
1091122418320.00,2001827036.00,8904223819093.00,1,150,0.15,0.5,1.6,2,b,b,33,117.9
1091122418320.00,2001827036.00,8904223819109.00,1,100,0.1,0.5,1.6,2,b,b,33,117.9
1091117795531.00,2001809794.00,8904223819116.00,1,30,0.03,0.5,1.5,2,d,d,45.4,135
1091117222135.00,2001806233.00,8904223819161.00,1,115,0.115,0.5,0.78,1,b,b,33,61.3
1091117222146.00,2001806251.00,8904223819161.00,1,115,0.115,0.5,1.27,1.49,d,d,45.4,135
1091117435005.00,2001808102.00,8904223819161.00,1,115,0.115,0.5,1.28,1.49,d,d,45.4,135
1091117435661.00,2001808295.00,8904223819161.00,1,115,0.115,0.5,0.2,0.5,e,e,55.5,107.3
1091117222124.00,2001806232.00,8904223819147.00,2,240,0.48,1,1.3,1.49,d,d,45.4,135
1091117333251.00,2001807613.00,8904223819147.00,1,240,0.24,0.5,1.04,1.49,d,d,45.4,135
1091117327312.00,2001807960.00,8904223819147.00,1,240,0.24,0.5,1,1,d,d,45.4,90.2
1091117958163.00,2001811306.00,8904223819147.00,1,240,0.24,0.5,1.1,1.49,d,d,45.4,135
1091120014461.00,2001818390.00,8904223819147.00,1,240,0.24,0.5,0.8,1,e,e,55.5,213.5
1091120959225.00,2001821185.00,8904223819147.00,1,240,0.24,0.5,2.1,2.5,d,d,45.4,224.6
1091117795623.00,2001809820.00,8904223819130.00,1,350,0.35,0.5,3,3,d,d,45.4,269.4
1091118548333.00,2001812854.00,8904223819130.00,1,350,0.35,0.5,2.94,3,d,d,45.4,269.4
1091121034350.00,2001821750.00,8904223819130.00,1,350,0.35,0.5,0.8,1,d,d,45.4,90.2
1091121183730.00,2001821995.00,8904223819130.00,1,350,0.35,0.5,0.5,1,d,d,45.4,45.4
1091117795623.00,2001809820.00,8904223818881.00,1,140,0.14,0.5,3,3,d,d,45.4,269.4
1091117957780.00,2001811192.00,8904223818881.00,1,140,0.14,0.5,1.13,1.49,d,d,44.8,258.9
1091121485824.00,2001817093.00,8904223818881.00,1,140,0.14,0.5,1.3,1.49,b,b,28.3,151.1
1091117795623.00,2001809820.00,8904223818898.00,1,140,0.14,0.5,3,3,d,d,45.4,269.4
1091117333251.00,2001807613.00,8904223819277.00,1,350,0.35,0.5,1.04,1.49,d,d,45.4,135
1091117795623.00,2001809820.00,8904223819277.00,1,350,0.35,0.5,3,3,d,d,45.4,269.4
1091118548333.00,2001812854.00,8904223819277.00,1,350,0.35,0.5,2.94,3,d,d,45.4,269.4
1091119367193.00,2001816131.00,8904223819277.00,1,350,0.35,0.5,0.7,1,d,d,45.4,90.2
1091122418320.00,2001827036.00,8904223819277.00,1,350,0.35,0.5,1.6,2,b,b,33,117.9
1091117223244.00,2001806458.00,8904223819284.00,1,350,0.35,0.5,1,1,b,b,33,61.3
1091117795531.00,2001809794.00,8904223819284.00,1,350,0.35,0.5,1.5,2,d,d,45.4,135
1091117795623.00,2001809820.00,8904223819284.00,1,350,0.35,0.5,3,3,d,d,45.4,269.4
1091118548333.00,2001812854.00,8904223819284.00,1,350,0.35,0.5,2.94,3,d,d,45.4,269.4
1091119630264.00,2001817160.00,8904223819284.00,1,350,0.35,0.5,0.7,1,d,d,44.8,172.8
1091117957942.00,2001811229.00,8904223819345.00,1,165,0.165,0.5,0.6,1,d,d,45.4,90.2
1091117222931.00,2001806408.00,8904223819352.00,1,165,0.165,0.5,2.5,2.5,d,d,45.4,224.6
1091117795531.00,2001809794.00,8904223819352.00,1,165,0.165,0.5,1.5,2,d,d,45.4,135
1091117958163.00,2001811306.00,8904223819352.00,1,165,0.165,0.5,1.1,1.49,d,d,45.4,135
1091117323112.00,2001807058.00,8904223819239.00,1,290,0.29,0.5,1.15,1.49,b,b,33,89.6
1091120959225.00,2001821185.00,8904223819239.00,1,290,0.29,0.5,2.1,2.5,d,d,45.4,224.6
1091117323112.00,2001807058.00,8904223819246.00,1,290,0.29,0.5,1.15,1.49,b,b,33,89.6
1091117327275.00,2001807956.00,8904223819246.00,2,290,0.58,1,1.08,1.49,b,b,33,89.6
1091120959225.00,2001821185.00,8904223819246.00,1,290,0.29,0.5,2.1,2.5,d,d,45.4,224.6
1091117224902.00,2001806567.00,8904223819253.00,1,290,0.29,0.5,1.16,1.49,d,d,45.4,135
1091117323112.00,2001807058.00,8904223819253.00,1,290,0.29,0.5,1.15,1.49,b,b,33,89.6
1091120959225.00,2001821185.00,8904223819253.00,1,290,0.29,0.5,2.1,2.5,d,d,45.4,224.6
1091117323005.00,2001807036.00,8904223819291.00,4,112,0.448,1,1.64,2,d,d,45.4,179.8
1091117324394.00,2001807362.00,8904223819291.00,2,112,0.224,0.5,2,2,d,d,45.4,179.8
1091117435005.00,2001808102.00,8904223819291.00,2,112,0.224,0.5,1.28,1.49,d,d,45.4,135
1091117957780.00,2001811192.00,8904223819291.00,2,112,0.224,0.5,1.13,1.49,d,d,44.8,258.9
1091118548333.00,2001812854.00,8904223819291.00,2,112,0.224,0.5,2.94,3,d,d,45.4,269.4
1091121485824.00,2001817093.00,8904223819291.00,2,112,0.224,0.5,1.3,1.49,b,b,28.3,151.1
1091121305541.00,2001822466.00,8904223819291.00,8,112,0.896,1,1.1,1.49,d,d,45.4,135
1091121666133.00,2001823564.00,8904223819291.00,2,112,0.224,0.5,0.7,1,d,d,44.8,172.8
1091121981575.00,2001825261.00,8904223819291.00,4,112,0.448,1,1.6,2,d,d,44.8,345
1091117222931.00,2001806408.00,8904223819437.00,2,552,1.104,1.5,2.5,2.5,d,d,45.4,224.6
1091117437050.00,2001808675.00,8904223819369.00,1,170,0.17,0.5,1.2,1.49,b,b,33,89.6
1091117225484.00,2001806616.00,8904223819123.00,1,250,0.25,0.5,1.08,1.49,b,b,33,89.6
1091117229555.00,2001806686.00,8904223819468.00,1,240,0.24,0.5,0.15,0.5,d,d,45.4,45.4
1091117226674.00,2001806733.00,8904223819468.00,1,240,0.24,0.5,1.13,1.49,d,d,45.4,135
1091117229345.00,2001807012.00,8904223819468.00,1,240,0.24,0.5,0.15,0.5,d,d,45.4,45.4
1091117324011.00,2001807241.00,8904223819468.00,1,240,0.24,0.5,0.79,1,d,d,45.4,90.2
1091117333251.00,2001807613.00,8904223819468.00,1,240,0.24,0.5,1.04,1.49,d,d,45.4,135
1091117326612.00,2001807814.00,8904223819468.00,1,240,0.24,0.5,0.79,1,b,b,33,61.3
1091117327695.00,2001807930.00,8904223819468.00,1,240,0.24,0.5,0.15,0.5,d,d,45.4,45.4
1091117327172.00,2001807931.00,8904223819468.00,1,240,0.24,0.5,0.72,1,d,d,45.4,90.2
1091117327496.00,2001807976.00,8904223819468.00,1,240,0.24,0.5,0.7,1,d,d,44.8,172.8
1091117435005.00,2001808102.00,8904223819468.00,1,240,0.24,0.5,1.28,1.49,d,d,45.4,135
1091117435370.00,2001808207.00,8904223819468.00,1,240,0.24,0.5,0.79,1,d,d,45.4,90.2
1091117435602.00,2001808286.00,8904223819468.00,1,240,0.24,0.5,0.77,1,d,d,45.4,90.2
1091117436383.00,2001808507.00,8904223819468.00,1,240,0.24,0.5,0.79,1,b,b,33,61.3
1091117436464.00,2001808542.00,8904223819468.00,2,240,0.48,1,0.86,1,d,d,45.4,90.2
1091117614452.00,2001809383.00,8904223819468.00,1,240,0.24,0.5,0.5,1,d,d,44.8,86.7
1091117804200.00,2001810104.00,8904223819468.00,1,240,0.24,0.5,0.76,1,d,d,45.4,90.2
1091117806263.00,2001810549.00,8904223819468.00,1,240,0.24,0.5,1.86,2,d,d,45.4,179.8
1091117807140.00,2001810697.00,8904223819468.00,1,240,0.24,0.5,2.27,3,d,d,45.4,224.6
1091117957533.00,2001811153.00,8904223819468.00,1,240,0.24,0.5,0.76,1,d,d,45.4,90.2
1091117957942.00,2001811229.00,8904223819468.00,1,240,0.24,0.5,0.6,1,d,d,45.4,90.2
1091117958163.00,2001811306.00,8904223819468.00,1,240,0.24,0.5,1.1,1.49,d,d,45.4,135
1091118001865.00,2001811466.00,8904223819468.00,1,240,0.24,0.5,0.8,1,d,d,45.4,90.2
1091121034114.00,2001821742.00,8904223819468.00,1,240,0.24,0.5,0.15,0.5,d,d,45.4,45.4
1091121305541.00,2001822466.00,8904223819468.00,2,240,0.48,1,1.1,1.49,d,d,45.4,135
1091117222135.00,2001806233.00,8904223819260.00,1,130,0.13,0.5,0.78,1,b,b,33,61.3
1091117222146.00,2001806251.00,8904223819260.00,1,130,0.13,0.5,1.27,1.49,d,d,45.4,135
1091117435005.00,2001808102.00,8904223819260.00,1,130,0.13,0.5,1.28,1.49,d,d,45.4,135
1091117435661.00,2001808295.00,8904223819260.00,1,130,0.13,0.5,0.2,0.5,e,e,55.5,107.3
1091117327474.00,2001807970.00,8904223819321.00,1,600,0.6,1,4.13,4.5,d,d,45.4,403.8
1091120959015.00,2001821190.00,8904223819321.00,1,600,0.6,1,1.2,1.49,d,d,44.8,258.9
1091117437864.00,2001808832.00,8904223819338.00,1,600,0.6,1,2.47,3,d,d,45.4,224.6
1091120959015.00,2001821190.00,8904223819338.00,1,600,0.6,1,1.2,1.49,d,d,44.8,258.9
1091117227573.00,2001806776.00,8904223819505.00,1,210,0.21,0.5,2.86,3,b,b,33,174.5
1091117327312.00,2001807960.00,8904223819505.00,1,210,0.21,0.5,1,1,d,d,45.4,90.2
1091121482593.00,2001809917.00,8904223819505.00,1,210,0.21,0.5,0.6,1,d,d,44.8,172.8
1091121846136.00,2001811305.00,8904223819505.00,1,210,0.21,0.5,0.5,1,d,d,45.4,45.4
1091117229776.00,2001806885.00,8904223819499.00,2,210,0.42,1,1,1,b,b,33,61.3
1091117229776.00,2001806885.00,8904223819499.00,2,210,0.42,1,1,1,b,b,33,61.3
1091121482593.00,2001809917.00,8904223819499.00,1,210,0.21,0.5,0.6,1,d,d,44.8,172.8
1091121846136.00,2001811305.00,8904223819499.00,1,210,0.21,0.5,0.5,1,d,d,45.4,45.4
1091121844806.00,2001811475.00,8904223819499.00,1,210,0.21,0.5,0.5,1,b,b,33,33
1091117226674.00,2001806733.00,8904223819512.00,1,210,0.21,0.5,1.13,1.49,d,d,45.4,135
1091117227116.00,2001806768.00,8904223819512.00,4,210,0.84,1,1.02,1.49,d,d,45.4,135
1091121482593.00,2001809917.00,8904223819512.00,1,210,0.21,0.5,0.6,1,d,d,44.8,172.8
1091121846136.00,2001811305.00,8904223819512.00,1,210,0.21,0.5,0.5,1,d,d,45.4,45.4
1091121485824.00,2001817093.00,8904223819512.00,1,210,0.21,0.5,1.3,1.49,b,b,28.3,151.1
1091117958163.00,2001811306.00,8904223819543.00,1,300,0.3,0.5,1.1,1.49,d,d,45.4,135
