,AWB Number,Order ID,Order Qty,WeightPerQty,Total weight as per X (KG),Weight slab as per X (KG),Total weight as per Courier Company (KG),Weight slab charged by Courier Company (KG),Delivery Zone as per X,Delivery Zone charged by Courier Company,CourierRatePer0.5KG,Expected Charge as per X (Rs.),Charges Billed by Courier Company (Rs.) ,Difference Between Expected Charges and Billed Charges (Rs.)
192,1091118009786.0,2001811809.0,1,240,0.24,0.5,0.5,1.0,d,d,44.8,44.8,86.7,-41.900000000000006
193,1091118442390.0,2001812195.0,1,240,0.24,0.5,0.67,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
194,1091118551656.0,2001812941.0,1,240,0.24,0.5,0.73,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
195,1091118553701.0,2001813009.0,1,240,0.24,0.5,1.0,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
196,1091119429202.0,2001816996.0,1,240,0.24,0.5,0.5,1.0,d,d,45.4,45.4,45.4,0.0
197,1091120959225.0,2001821185.0,1,240,0.24,0.5,2.1,2.5,d,d,45.4,45.4,224.6,-179.2
198,1091121034350.0,2001821750.0,1,240,0.24,0.5,0.8,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
199,1091117225484.0,2001806616.0,1,120,0.12,0.5,1.08,1.49,b,b,33.0,33.0,89.6,-56.599999999999994
200,1091117795531.0,2001809794.0,1,120,0.12,0.5,1.5,2.0,d,d,45.4,45.4,135.0,-89.6
201,1091119398844.0,2001816684.0,4,120,0.48,1.0,0.99,1.0,d,d,44.8,89.6,172.8,-83.20000000000002
202,1091120014461.0,2001818390.0,4,120,0.48,1.0,0.8,1.0,e,e,55.5,111.0,213.5,-102.5
203,1091117221940.0,2001806210.0,1,100,0.1,0.5,2.92,3.0,b,b,33.0,33.0,174.5,-141.5
204,1091117222931.0,2001806408.0,1,100,0.1,0.5,2.5,2.5,d,d,45.4,45.4,224.6,-179.2
205,1091117437293.0,2001808739.0,1,100,0.1,0.5,1.63,2.0,d,d,45.4,45.4,179.8,-134.4
206,1091117795623.0,2001809820.0,1,100,0.1,0.5,3.0,3.0,d,d,45.4,45.4,269.4,-223.99999999999997
207,1091117957780.0,2001811192.0,1,100,0.1,0.5,1.13,1.49,d,d,44.8,44.8,258.9,-214.09999999999997
208,1091117957942.0,2001811229.0,1,100,0.1,0.5,0.6,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
209,1091118553701.0,2001813009.0,1,100,0.1,0.5,1.0,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
210,1091119169701.0,2001815688.0,1,100,0.1,0.5,0.2,0.5,d,d,45.4,45.4,45.4,0.0
211,1091119398844.0,2001816684.0,2,100,0.2,0.5,0.99,1.0,d,d,44.8,44.8,172.8,-128.0
212,1091121485824.0,2001817093.0,1,100,0.1,0.5,1.3,1.49,b,b,28.3,28.3,151.1,-122.8
213,1091117324346.0,2001807328.0,1,490,0.49,1.0,2.28,3.0,d,d,45.4,90.8,224.6,-133.8
214,1091117222080.0,2001806229.0,1,133,0.133,0.5,0.71,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
215,1091117222194.0,2001806273.0,1,133,0.133,0.5,1.0,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
216,1091117222360.0,2001806304.0,1,133,0.133,0.5,0.71,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
217,1091117222570.0,2001806338.0,1,133,0.133,0.5,0.7,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
218,1091117223211.0,2001806446.0,1,133,0.133,0.5,0.69,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
219,1091117223351.0,2001806471.0,1,133,0.133,0.5,1.7,2.0,d,d,45.4,45.4,179.8,-134.4
220,1091117223351.0,2001806471.0,2,133,0.266,0.5,1.7,2.0,d,d,45.4,45.4,179.8,-134.4
221,1091117224353.0,2001806533.0,1,133,0.133,0.5,0.68,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
222,1091117225016.0,2001806575.0,1,133,0.133,0.5,0.68,1.0,b,b,33.0,33.0,61.3,-28.299999999999997
223,1091117226221.0,2001806652.0,1,133,0.133,0.5,0.69,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
224,1091117226910.0,2001806726.0,1,133,0.133,0.5,0.68,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
225,1091117226711.0,2001806735.0,1,133,0.133,0.5,0.69,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
226,1091117228192.0,2001806828.0,1,133,0.133,0.5,0.69,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
227,1091117229183.0,2001806968.0,1,133,0.133,0.5,0.68,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
228,1091117229290.0,2001807004.0,1,133,0.133,0.5,0.68,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
229,1091117323215.0,2001807084.0,1,133,0.133,0.5,0.67,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
230,1091117323812.0,2001807186.0,1,133,0.133,0.5,0.5,1.0,d,d,45.4,45.4,45.4,0.0
231,1091117324206.0,2001807290.0,1,133,0.133,0.5,0.5,1.0,d,d,45.4,45.4,45.4,0.0
232,1091117333100.0,2001807329.0,1,133,0.133,0.5,0.73,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
233,1091117326424.0,2001807785.0,1,133,0.133,0.5,0.68,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
234,1091117326925.0,2001807852.0,1,133,0.133,0.5,0.74,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
235,1091117327275.0,2001807956.0,1,133,0.133,0.5,1.08,1.49,b,b,33.0,33.0,89.6,-56.599999999999994
236,1091117327570.0,2001807981.0,1,133,0.133,0.5,0.5,1.0,d,d,45.4,45.4,45.4,0.0
237,1091117436346.0,2001808475.0,1,133,0.133,0.5,0.7,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
238,1091117436652.0,2001808585.0,1,133,0.133,0.5,0.72,1.0,b,b,33.0,33.0,61.3,-28.299999999999997
239,1091117437035.0,2001808679.0,1,133,0.133,0.5,0.72,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
240,1091117437890.0,2001808837.0,1,133,0.133,0.5,0.67,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
241,1091117438074.0,2001808883.0,1,133,0.133,0.5,0.72,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
242,1091117611501.0,2001808992.0,1,133,0.133,0.5,0.72,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
243,1091117613962.0,2001809270.0,1,133,0.133,0.5,0.68,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
244,1091117795623.0,2001809820.0,1,133,0.133,0.5,3.0,3.0,d,d,45.4,45.4,269.4,-223.99999999999997
245,1091117804314.0,2001810125.0,1,133,0.133,0.5,0.66,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
246,1091117805390.0,2001810281.0,1,133,0.133,0.5,0.68,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
247,1091117905022.0,2001811058.0,1,133,0.133,0.5,0.72,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
248,1091118009786.0,2001811809.0,1,133,0.133,0.5,0.5,1.0,d,d,44.8,44.8,86.7,-41.900000000000006
249,1091118442390.0,2001812195.0,1,133,0.133,0.5,0.67,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
250,1091118551656.0,2001812941.0,1,133,0.133,0.5,0.73,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
251,1091118553701.0,2001813009.0,1,133,0.133,0.5,1.0,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
252,1091119429202.0,2001816996.0,1,133,0.133,0.5,0.5,1.0,d,d,45.4,45.4,45.4,0.0
253,1091120352712.0,2001819252.0,1,133,0.133,0.5,0.3,0.5,b,b,33.0,33.0,33.0,0.0
254,1091120959225.0,2001821185.0,2,133,0.266,0.5,2.1,2.5,d,d,45.4,45.4,224.6,-179.2
255,1091117222931.0,2001806408.0,8,112,0.896,1.0,2.5,2.5,d,d,45.4,90.8,224.6,-133.8
256,1091117224902.0,2001806567.0,1,112,0.112,0.5,1.16,1.49,d,d,45.4,45.4,135.0,-89.6
257,1091117225484.0,2001806616.0,1,112,0.112,0.5,1.08,1.49,b,b,33.0,33.0,89.6,-56.599999999999994
258,1091117323005.0,2001807036.0,4,112,0.448,1.0,1.64,2.0,d,d,45.4,90.8,179.8,-89.00000000000001
259,1091117324394.0,2001807362.0,2,112,0.224,0.5,2.0,2.0,d,d,45.4,45.4,179.8,-134.4
260,1091117324394.0,2001807362.0,6,112,0.672,1.0,2.0,2.0,d,d,45.4,90.8,179.8,-89.00000000000001
261,1091117325094.0,2001807415.0,4,112,0.448,1.0,1.0,1.0,b,b,33.0,66.0,61.3,4.700000000000003
262,1091117435005.0,2001808102.0,2,112,0.224,0.5,1.28,1.49,d,d,45.4,45.4,135.0,-89.6
263,1091117616121.0,2001809592.0,8,112,0.896,1.0,1.5,2.0,b,b,33.0,66.0,89.6,-23.599999999999994
264,1091117795623.0,2001809820.0,2,112,0.224,0.5,3.0,3.0,d,d,45.4,45.4,269.4,-223.99999999999997
265,1091117957780.0,2001811192.0,2,112,0.224,0.5,1.13,1.49,d,d,44.8,44.8,258.9,-214.09999999999997
266,1091118548333.0,2001812854.0,2,112,0.224,0.5,2.94,3.0,d,d,45.4,45.4,269.4,-223.99999999999997
267,1091121485824.0,2001817093.0,2,112,0.224,0.5,1.3,1.49,b,b,28.3,28.3,151.1,-122.8
268,1091120962515.0,2001821284.0,1,112,0.112,0.5,0.2,0.5,d,d,45.4,45.4,45.4,0.0
269,1091121185863.0,2001821502.0,2,112,0.224,0.5,0.6,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
270,1091121666133.0,2001823564.0,2,112,0.224,0.5,0.7,1.0,d,d,44.8,44.8,172.8,-128.0
271,1091121981575.0,2001825261.0,4,112,0.448,1.0,1.6,2.0,d,d,44.8,89.6,345.0,-255.4
272,1091117226674.0,2001806733.0,1,112,0.112,0.5,1.13,1.49,d,d,45.4,45.4,135.0,-89.6
273,1091117323005.0,2001807036.0,4,112,0.448,1.0,1.64,2.0,d,d,45.4,90.8,179.8,-89.00000000000001
274,1091117324394.0,2001807362.0,2,112,0.224,0.5,2.0,2.0,d,d,45.4,45.4,179.8,-134.4
275,1091117324394.0,2001807362.0,6,112,0.672,1.0,2.0,2.0,d,d,45.4,90.8,179.8,-89.00000000000001
276,1091117435005.0,2001808102.0,2,112,0.224,0.5,1.28,1.49,d,d,45.4,45.4,135.0,-89.6
277,1091117795623.0,2001809820.0,2,112,0.224,0.5,3.0,3.0,d,d,45.4,45.4,269.4,-223.99999999999997
278,1091117957780.0,2001811192.0,2,112,0.224,0.5,1.13,1.49,d,d,44.8,44.8,258.9,-214.09999999999997
279,1091121844806.0,2001811475.0,1,112,0.112,0.5,0.5,1.0,b,b,33.0,33.0,33.0,0.0
280,1091118591534.0,2001812650.0,4,112,0.448,1.0,0.61,1.0,d,d,45.4,90.8,90.2,0.5999999999999943
281,1091118547832.0,2001812838.0,4,112,0.448,1.0,0.6,1.0,b,b,28.3,56.6,102.3,-45.699999999999996
282,1091118548333.0,2001812854.0,2,112,0.224,0.5,2.94,3.0,d,d,45.4,45.4,269.4,-223.99999999999997
283,1091121485824.0,2001817093.0,2,112,0.224,0.5,1.3,1.49,b,b,28.3,28.3,151.1,-122.8
284,1091121185863.0,2001821502.0,2,112,0.224,0.5,0.6,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
285,1091121666133.0,2001823564.0,2,112,0.224,0.5,0.7,1.0,d,d,44.8,44.8,172.8,-128.0
286,1091118547832.0,2001812838.0,1,110,0.11,0.5,0.6,1.0,b,b,28.3,28.3,102.3,-74.0
287,1091121185863.0,2001821502.0,1,110,0.11,0.5,0.6,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
288,1091117222194.0,2001806273.0,1,115,0.115,0.5,1.0,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
289,1091117323005.0,2001807036.0,1,115,0.115,0.5,1.64,2.0,d,d,45.4,45.4,179.8,-134.4
290,1091118591534.0,2001812650.0,1,115,0.115,0.5,0.61,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
291,1091122418320.0,2001827036.0,1,150,0.15,0.5,1.6,2.0,b,b,33.0,33.0,117.9,-84.9
292,1091122418320.0,2001827036.0,1,100,0.1,0.5,1.6,2.0,b,b,33.0,33.0,117.9,-84.9
293,1091117795531.0,2001809794.0,1,30,0.03,0.5,1.5,2.0,d,d,45.4,45.4,135.0,-89.6
294,1091117222135.0,2001806233.0,1,115,0.115,0.5,0.78,1.0,b,b,33.0,33.0,61.3,-28.299999999999997
295,1091117222146.0,2001806251.0,1,115,0.115,0.5,1.27,1.49,d,d,45.4,45.4,135.0,-89.6
296,1091117435005.0,2001808102.0,1,115,0.115,0.5,1.28,1.49,d,d,45.4,45.4,135.0,-89.6
297,1091117435661.0,2001808295.0,1,115,0.115,0.5,0.2,0.5,e,e,55.5,55.5,107.3,-51.8
298,1091117222124.0,2001806232.0,2,240,0.48,1.0,1.3,1.49,d,d,45.4,90.8,135.0,-44.2
299,1091117333251.0,2001807613.0,1,240,0.24,0.5,1.04,1.49,d,d,45.4,45.4,135.0,-89.6
300,1091117327312.0,2001807960.0,1,240,0.24,0.5,1.0,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
301,1091117958163.0,2001811306.0,1,240,0.24,0.5,1.1,1.49,d,d,45.4,45.4,135.0,-89.6
302,1091120014461.0,2001818390.0,1,240,0.24,0.5,0.8,1.0,e,e,55.5,55.5,213.5,-158.0
303,1091120959225.0,2001821185.0,1,240,0.24,0.5,2.1,2.5,d,d,45.4,45.4,224.6,-179.2
304,1091117795623.0,2001809820.0,1,350,0.35,0.5,3.0,3.0,d,d,45.4,45.4,269.4,-223.99999999999997
305,1091118548333.0,2001812854.0,1,350,0.35,0.5,2.94,3.0,d,d,45.4,45.4,269.4,-223.99999999999997
306,1091121034350.0,2001821750.0,1,350,0.35,0.5,0.8,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
307,1091121183730.0,2001821995.0,1,350,0.35,0.5,0.5,1.0,d,d,45.4,45.4,45.4,0.0
308,1091117795623.0,2001809820.0,1,140,0.14,0.5,3.0,3.0,d,d,45.4,45.4,269.4,-223.99999999999997
309,1091117957780.0,2001811192.0,1,140,0.14,0.5,1.13,1.49,d,d,44.8,44.8,258.9,-214.09999999999997
310,1091121485824.0,2001817093.0,1,140,0.14,0.5,1.3,1.49,b,b,28.3,28.3,151.1,-122.8
311,1091117795623.0,2001809820.0,1,140,0.14,0.5,3.0,3.0,d,d,45.4,45.4,269.4,-223.99999999999997
312,1091117333251.0,2001807613.0,1,350,0.35,0.5,1.04,1.49,d,d,45.4,45.4,135.0,-89.6
313,1091117795623.0,2001809820.0,1,350,0.35,0.5,3.0,3.0,d,d,45.4,45.4,269.4,-223.99999999999997
314,1091118548333.0,2001812854.0,1,350,0.35,0.5,2.94,3.0,d,d,45.4,45.4,269.4,-223.99999999999997
315,1091119367193.0,2001816131.0,1,350,0.35,0.5,0.7,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
316,1091122418320.0,2001827036.0,1,350,0.35,0.5,1.6,2.0,b,b,33.0,33.0,117.9,-84.9
317,1091117223244.0,2001806458.0,1,350,0.35,0.5,1.0,1.0,b,b,33.0,33.0,61.3,-28.299999999999997
318,1091117795531.0,2001809794.0,1,350,0.35,0.5,1.5,2.0,d,d,45.4,45.4,135.0,-89.6
319,1091117795623.0,2001809820.0,1,350,0.35,0.5,3.0,3.0,d,d,45.4,45.4,269.4,-223.99999999999997
320,1091118548333.0,2001812854.0,1,350,0.35,0.5,2.94,3.0,d,d,45.4,45.4,269.4,-223.99999999999997
321,1091119630264.0,2001817160.0,1,350,0.35,0.5,0.7,1.0,d,d,44.8,44.8,172.8,-128.0
322,1091117957942.0,2001811229.0,1,165,0.165,0.5,0.6,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
323,1091117222931.0,2001806408.0,1,165,0.165,0.5,2.5,2.5,d,d,45.4,45.4,224.6,-179.2
324,1091117795531.0,2001809794.0,1,165,0.165,0.5,1.5,2.0,d,d,45.4,45.4,135.0,-89.6
325,1091117958163.0,2001811306.0,1,165,0.165,0.5,1.1,1.49,d,d,45.4,45.4,135.0,-89.6
326,1091117323112.0,2001807058.0,1,290,0.29,0.5,1.15,1.49,b,b,33.0,33.0,89.6,-56.599999999999994
327,1091120959225.0,2001821185.0,1,290,0.29,0.5,2.1,2.5,d,d,45.4,45.4,224.6,-179.2
328,1091117323112.0,2001807058.0,1,290,0.29,0.5,1.15,1.49,b,b,33.0,33.0,89.6,-56.599999999999994
329,1091117327275.0,2001807956.0,2,290,0.58,1.0,1.08,1.49,b,b,33.0,66.0,89.6,-23.599999999999994
330,1091120959225.0,2001821185.0,1,290,0.29,0.5,2.1,2.5,d,d,45.4,45.4,224.6,-179.2
331,1091117224902.0,2001806567.0,1,290,0.29,0.5,1.16,1.49,d,d,45.4,45.4,135.0,-89.6
332,1091117323112.0,2001807058.0,1,290,0.29,0.5,1.15,1.49,b,b,33.0,33.0,89.6,-56.599999999999994
333,1091120959225.0,2001821185.0,1,290,0.29,0.5,2.1,2.5,d,d,45.4,45.4,224.6,-179.2
334,1091117323005.0,2001807036.0,4,112,0.448,1.0,1.64,2.0,d,d,45.4,90.8,179.8,-89.00000000000001
335,1091117324394.0,2001807362.0,2,112,0.224,0.5,2.0,2.0,d,d,45.4,45.4,179.8,-134.4
336,1091117435005.0,2001808102.0,2,112,0.224,0.5,1.28,1.49,d,d,45.4,45.4,135.0,-89.6
337,1091117957780.0,2001811192.0,2,112,0.224,0.5,1.13,1.49,d,d,44.8,44.8,258.9,-214.09999999999997
338,1091118548333.0,2001812854.0,2,112,0.224,0.5,2.94,3.0,d,d,45.4,45.4,269.4,-223.99999999999997
339,1091121485824.0,2001817093.0,2,112,0.224,0.5,1.3,1.49,b,b,28.3,28.3,151.1,-122.8
340,1091121305541.0,2001822466.0,8,112,0.896,1.0,1.1,1.49,d,d,45.4,90.8,135.0,-44.2
341,1091121666133.0,2001823564.0,2,112,0.224,0.5,0.7,1.0,d,d,44.8,44.8,172.8,-128.0
342,1091121981575.0,2001825261.0,4,112,0.448,1.0,1.6,2.0,d,d,44.8,89.6,345.0,-255.4
343,1091117222931.0,2001806408.0,2,552,1.104,1.5,2.5,2.5,d,d,45.4,136.2,224.6,-88.4
344,1091117437050.0,2001808675.0,1,170,0.17,0.5,1.2,1.49,b,b,33.0,33.0,89.6,-56.599999999999994
345,1091117225484.0,2001806616.0,1,250,0.25,0.5,1.08,1.49,b,b,33.0,33.0,89.6,-56.599999999999994
346,1091117229555.0,2001806686.0,1,240,0.24,0.5,0.15,0.5,d,d,45.4,45.4,45.4,0.0
347,1091117226674.0,2001806733.0,1,240,0.24,0.5,1.13,1.49,d,d,45.4,45.4,135.0,-89.6
348,1091117229345.0,2001807012.0,1,240,0.24,0.5,0.15,0.5,d,d,45.4,45.4,45.4,0.0
349,1091117324011.0,2001807241.0,1,240,0.24,0.5,0.79,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
350,1091117333251.0,2001807613.0,1,240,0.24,0.5,1.04,1.49,d,d,45.4,45.4,135.0,-89.6
351,1091117326612.0,2001807814.0,1,240,0.24,0.5,0.79,1.0,b,b,33.0,33.0,61.3,-28.299999999999997
352,1091117327695.0,2001807930.0,1,240,0.24,0.5,0.15,0.5,d,d,45.4,45.4,45.4,0.0
353,1091117327172.0,2001807931.0,1,240,0.24,0.5,0.72,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
354,1091117327496.0,2001807976.0,1,240,0.24,0.5,0.7,1.0,d,d,44.8,44.8,172.8,-128.0
355,1091117435005.0,2001808102.0,1,240,0.24,0.5,1.28,1.49,d,d,45.4,45.4,135.0,-89.6
356,1091117435370.0,2001808207.0,1,240,0.24,0.5,0.79,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
357,1091117435602.0,2001808286.0,1,240,0.24,0.5,0.77,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
358,1091117436383.0,2001808507.0,1,240,0.24,0.5,0.79,1.0,b,b,33.0,33.0,61.3,-28.299999999999997
359,1091117436464.0,2001808542.0,2,240,0.48,1.0,0.86,1.0,d,d,45.4,90.8,90.2,0.5999999999999943
360,1091117614452.0,2001809383.0,1,240,0.24,0.5,0.5,1.0,d,d,44.8,44.8,86.7,-41.900000000000006
361,1091117804200.0,2001810104.0,1,240,0.24,0.5,0.76,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
362,1091117806263.0,2001810549.0,1,240,0.24,0.5,1.86,2.0,d,d,45.4,45.4,179.8,-134.4
363,1091117807140.0,2001810697.0,1,240,0.24,0.5,2.27,3.0,d,d,45.4,45.4,224.6,-179.2
364,1091117957533.0,2001811153.0,1,240,0.24,0.5,0.76,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
365,1091117957942.0,2001811229.0,1,240,0.24,0.5,0.6,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
366,1091117958163.0,2001811306.0,1,240,0.24,0.5,1.1,1.49,d,d,45.4,45.4,135.0,-89.6
367,1091118001865.0,2001811466.0,1,240,0.24,0.5,0.8,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
368,1091121034114.0,2001821742.0,1,240,0.24,0.5,0.15,0.5,d,d,45.4,45.4,45.4,0.0
369,1091121305541.0,2001822466.0,2,240,0.48,1.0,1.1,1.49,d,d,45.4,90.8,135.0,-44.2
370,1091117222135.0,2001806233.0,1,130,0.13,0.5,0.78,1.0,b,b,33.0,33.0,61.3,-28.299999999999997
371,1091117222146.0,2001806251.0,1,130,0.13,0.5,1.27,1.49,d,d,45.4,45.4,135.0,-89.6
372,1091117435005.0,2001808102.0,1,130,0.13,0.5,1.28,1.49,d,d,45.4,45.4,135.0,-89.6
373,1091117435661.0,2001808295.0,1,130,0.13,0.5,0.2,0.5,e,e,55.5,55.5,107.3,-51.8
374,1091117327474.0,2001807970.0,1,600,0.6,1.0,4.13,4.5,d,d,45.4,90.8,403.8,-313.0
375,1091120959015.0,2001821190.0,1,600,0.6,1.0,1.2,1.49,d,d,44.8,89.6,258.9,-169.29999999999998
376,1091117437864.0,2001808832.0,1,600,0.6,1.0,2.47,3.0,d,d,45.4,90.8,224.6,-133.8
377,1091120959015.0,2001821190.0,1,600,0.6,1.0,1.2,1.49,d,d,44.8,89.6,258.9,-169.29999999999998
378,1091117227573.0,2001806776.0,1,210,0.21,0.5,2.86,3.0,b,b,33.0,33.0,174.5,-141.5
379,1091117327312.0,2001807960.0,1,210,0.21,0.5,1.0,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
380,1091121482593.0,2001809917.0,1,210,0.21,0.5,0.6,1.0,d,d,44.8,44.8,172.8,-128.0
381,1091121846136.0,2001811305.0,1,210,0.21,0.5,0.5,1.0,d,d,45.4,45.4,45.4,0.0
382,1091117229776.0,2001806885.0,2,210,0.42,1.0,1.0,1.0,b,b,33.0,66.0,61.3,4.700000000000003
383,1091117229776.0,2001806885.0,2,210,0.42,1.0,1.0,1.0,b,b,33.0,66.0,61.3,4.700000000000003
384,1091121482593.0,2001809917.0,1,210,0.21,0.5,0.6,1.0,d,d,44.8,44.8,172.8,-128.0
385,1091121846136.0,2001811305.0,1,210,0.21,0.5,0.5,1.0,d,d,45.4,45.4,45.4,0.0
386,1091121844806.0,2001811475.0,1,210,0.21,0.5,0.5,1.0,b,b,33.0,33.0,33.0,0.0
387,1091117226674.0,2001806733.0,1,210,0.21,0.5,1.13,1.49,d,d,45.4,45.4,135.0,-89.6
388,1091117227116.0,2001806768.0,4,210,0.84,1.0,1.02,1.49,d,d,45.4,90.8,135.0,-44.2
389,1091121482593.0,2001809917.0,1,210,0.21,0.5,0.6,1.0,d,d,44.8,44.8,172.8,-128.0
390,1091121846136.0,2001811305.0,1,210,0.21,0.5,0.5,1.0,d,d,45.4,45.4,45.4,0.0
391,1091121485824.0,2001817093.0,1,210,0.21,0.5,1.3,1.49,b,b,28.3,28.3,151.1,-122.8
392,1091117958163.0,2001811306.0,1,300,0.3,0.5,1.1,1.49,d,d,45.4,45.4,135.0,-89.6
